aspect,class,components,fill,image,mask,mask_area_ratio,method,new_image,new_mask,score,selection_score,source
15.9615,균열,1,0.3217,data/crack_only_gan_optimized_1100/train/B/00372_crackseg_train_crackseg_train_2269.rf.79ae36985a5c1deda7c4788bb66d0126.jpg,data/crack_only_gan_optimized_1100/train/mask/00372_crackseg_train_crackseg_train_2269.rf.79ae36985a5c1deda7c4788bb66d0126.png,0.020057,crackseg_train,B_0011.png,B_0011.png,0.9994,-0.14194624831963606,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/2269.rf.79ae36985a5c1deda7c4788bb66d0126.jpg
12.2353,균열,1,0.2447,data/crack_only_gan_optimized_1100/train/B/00308_crackseg_train_crackseg_train_3279.rf.50eaa3473f918c2de3269a72142192ac.jpg,data/crack_only_gan_optimized_1100/train/mask/00308_crackseg_train_crackseg_train_3279.rf.50eaa3473f918c2de3269a72142192ac.png,0.019999,crackseg_train,B_0012.png,B_0012.png,1.0000,-0.14001588231466183,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/3279.rf.50eaa3473f918c2de3269a72142192ac.jpg
10.6154,균열,1,0.2256,data/crack_only_gan_optimized_1100/train/B/00849_crackseg_train_crackseg_train_3314.rf.7614685704982aa9ea8ca1ab85312dd5.jpg,data/crack_only_gan_optimized_1100/train/mask/00849_crackseg_train_crackseg_train_3314.rf.7614685704982aa9ea8ca1ab85312dd5.png,0.021051,crackseg_train,B_0013.png,B_0013.png,0.9889,-0.13961164752696464,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/3314.rf.7614685704982aa9ea8ca1ab85312dd5.jpg
10.6154,균열,1,0.2253,data/crack_only_gan_optimized_1100/train/B/00840_crackseg_train_crackseg_train_1670.rf.0e92ad4f19b3096a519f02e6473133f9.jpg,data/crack_only_gan_optimized_1100/train/mask/00840_crackseg_train_crackseg_train_1670.rf.0e92ad4f19b3096a519f02e6473133f9.png,0.021022,crackseg_train,B_0014.png,B_0014.png,0.9892,-0.13869158577785046,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/1670.rf.0e92ad4f19b3096a519f02e6473133f9.jpg
12.0294,균열,1,0.2482,data/crack_only_gan_optimized_1100/train/B/00344_crackseg_train_crackseg_train_3046.rf.cd56f7991c9f18a2b91b6e564d243591.jpg,data/crack_only_gan_optimized_1100/train/mask/00344_crackseg_train_crackseg_train_3046.rf.cd56f7991c9f18a2b91b6e564d243591.png,0.019947,crackseg_train,B_0015.png,B_0015.png,0.9994,-0.13837159677457272,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/3046.rf.cd56f7991c9f18a2b91b6e564d243591.jpg
11.2432,균열,1,0.2306,data/crack_only_gan_optimized_1100/train/B/00561_crackseg_train_crackseg_train_3476.rf.f9f985219b368aa48ada11f6054766db.jpg,data/crack_only_gan_optimized_1100/train/mask/00561_crackseg_train_crackseg_train_3476.rf.f9f985219b368aa48ada11f6054766db.png,0.020508,crackseg_train,B_0016.png,B_0016.png,0.9946,-0.13786419036603983,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/3476.rf.f9f985219b368aa48ada11f6054766db.jpg
11.5000,균열,1,0.2358,data/crack_only_gan_optimized_1100/train/B/00453_crackseg_train_crackseg_train_2024.rf.88114ce456a576a80bd6dc164cc52064.jpg,data/crack_only_gan_optimized_1100/train/mask/00453_crackseg_train_crackseg_train_2024.rf.88114ce456a576a80bd6dc164cc52064.png,0.020311,crackseg_train,B_0017.png,B_0017.png,0.9966,-0.13785010260317138,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/2024.rf.88114ce456a576a80bd6dc164cc52064.jpg
17.2083,균열,1,0.3464,data/crack_only_gan_optimized_1100/train/B/00389_crackseg_train_crackseg_train_3046.rf.5814f607bcb395531ba7956434fcd76c.jpg,data/crack_only_gan_optimized_1100/train/mask/00389_crackseg_train_crackseg_train_3046.rf.5814f607bcb395531ba7956434fcd76c.png,0.019843,crackseg_train,B_0018.png,B_0018.png,0.9983,-0.13506175038411955,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/3046.rf.5814f607bcb395531ba7956434fcd76c.jpg
15.3704,균열,1,0.3064,data/crack_only_gan_optimized_1100/train/B/00398_crackseg_train_crackseg_train_1736.rf.6d0a4c9899efd0d2bbe31c2f070b6c3c.jpg,data/crack_only_gan_optimized_1100/train/mask/00398_crackseg_train_crackseg_train_1736.rf.6d0a4c9899efd0d2bbe31c2f070b6c3c.png,0.019838,crackseg_train,B_0019.png,B_0019.png,0.9982,-0.13490594402756612,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/1736.rf.6d0a4c9899efd0d2bbe31c2f070b6c3c.jpg
16.0000,균열,1,0.3156,data/crack_only_gan_optimized_1100/train/B/00416_crackseg_train_crackseg_train_2114.rf.78998de2c390454c84a13ec82b09b8e9.jpg,data/crack_only_gan_optimized_1100/train/mask/00416_crackseg_train_crackseg_train_2114.rf.78998de2c390454c84a13ec82b09b8e9.png,0.019728,crackseg_train,B_0020.png,B_0020.png,0.9970,-0.13138772049138725,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/2114.rf.78998de2c390454c84a13ec82b09b8e9.jpg
10.6667,균열,1,0.2197,data/crack_only_gan_optimized_1100/train/B/00606_crackseg_train_crackseg_train_2060.rf.d7f7cbbe28a04443f46b5dc42365020a.jpg,data/crack_only_gan_optimized_1100/train/mask/00606_crackseg_train_crackseg_train_2060.rf.d7f7cbbe28a04443f46b5dc42365020a.png,0.020600,crackseg_train,B_0021.png,B_0021.png,0.9936,-0.12644110458419272,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/2060.rf.d7f7cbbe28a04443f46b5dc42365020a.jpg
11.5278,균열,1,0.2310,data/crack_only_gan_optimized_1100/train/B/00353_crackseg_test_crackseg_test_2470.rf.3bba055020993dc304c435353cfd1818.jpg,data/crack_only_gan_optimized_1100/train/mask/00353_crackseg_test_crackseg_test_2470.rf.3bba055020993dc304c435353cfd1818.png,0.019942,crackseg_test,B_0022.png,B_0022.png,0.9994,-0.12640364458138556,/home/lim-hyun-su/defect_synthesis/crack-seg/images/test/2470.rf.3bba055020993dc304c435353cfd1818.jpg
10.9474,균열,1,0.2229,data/crack_only_gan_optimized_1100/train/B/00471_crackseg_train_crackseg_train_1721.rf.f2a8df26113a8bdf6ef62e613bc837d9.jpg,data/crack_only_gan_optimized_1100/train/mask/00471_crackseg_train_crackseg_train_1721.rf.f2a8df26113a8bdf6ef62e613bc837d9.png,0.020363,crackseg_train,B_0023.png,B_0023.png,0.9961,-0.1257370988865404,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/1721.rf.f2a8df26113a8bdf6ef62e613bc837d9.jpg
17.0833,균열,1,0.3431,data/crack_only_gan_optimized_1100/train/B/00524_crackseg_train_crackseg_train_1903.rf.f39c77cf88a182bf267e78b08049529a.jpg,data/crack_only_gan_optimized_1100/train/mask/00524_crackseg_train_crackseg_train_1903.rf.f39c77cf88a182bf267e78b08049529a.png,0.019508,crackseg_train,B_0024.png,B_0024.png,0.9946,-0.1242904199181688,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/1903.rf.f39c77cf88a182bf267e78b08049529a.jpg
9.9048,균열,1,0.2092,data/crack_only_gan_optimized_1100/train/B/00867_crackseg_train_crackseg_train_3164.rf.5cd3463097126c8723637a9a0193931a.jpg,data/crack_only_gan_optimized_1100/train/mask/00867_crackseg_train_crackseg_train_3164.rf.5cd3463097126c8723637a9a0193931a.png,0.021120,crackseg_train,B_0025.png,B_0025.png,0.9882,-0.12402970356183422,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/3164.rf.5cd3463097126c8723637a9a0193931a.jpg
13.8667,균열,1,0.2692,data/crack_only_gan_optimized_1100/train/B/00587_crackseg_train_crackseg_train_3309.rf.f2693bc644351fe4a8316dd629632039.jpg,data/crack_only_gan_optimized_1100/train/mask/00587_crackseg_train_crackseg_train_3309.rf.f2693bc644351fe4a8316dd629632039.png,0.019410,crackseg_train,B_0026.png,B_0026.png,0.9935,-0.12110486348469206,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/3309.rf.f2693bc644351fe4a8316dd629632039.jpg
16.5600,균열,1,0.3236,data/crack_only_gan_optimized_1100/train/B/00614_crackseg_train_crackseg_train_3027.rf.c5962cf5ba6c623bd67c8d56a1eb6630.jpg,data/crack_only_gan_optimized_1100/train/mask/00614_crackseg_train_crackseg_train_3027.rf.c5962cf5ba6c623bd67c8d56a1eb6630.png,0.019352,crackseg_train,B_0027.png,B_0027.png,0.9929,-0.11920765796711683,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/3027.rf.c5962cf5ba6c623bd67c8d56a1eb6630.jpg
9.4545,균열,1,0.2013,data/crack_only_gan_optimized_1100/train/B/00975_crackseg_train_crackseg_train_3282.rf.cad41f4a7bfaf1bbf0d6ceea30efbe24.jpg,data/crack_only_gan_optimized_1100/train/mask/00975_crackseg_train_crackseg_train_3282.rf.cad41f4a7bfaf1bbf0d6ceea30efbe24.png,0.021294,crackseg_train,B_0028.png,B_0028.png,0.9864,-0.11824937819716408,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/3282.rf.cad41f4a7bfaf1bbf0d6ceea30efbe24.jpg
13.7333,균열,1,0.2705,data/crack_only_gan_optimized_1100/train/B/00632_crackseg_val_crackseg_val_1947.rf.85feed8e975431eb6084cb6a4860d699.jpg,data/crack_only_gan_optimized_1100/train/mask/00632_crackseg_val_crackseg_val_1947.rf.85feed8e975431eb6084cb6a4860d699.png,0.019317,crackseg_val,B_0029.png,B_0029.png,0.9925,-0.11806300451279629,/home/lim-hyun-su/defect_synthesis/crack-seg/images/val/1947.rf.85feed8e975431eb6084cb6a4860d699.jpg
11.1622,균열,2,0.2306,data/crack_only_gan_optimized_1100/train/B/00480_crackseg_train_crackseg_train_1965.rf.fea135fbc4d86c78a46105a0fac547ec.jpg,data/crack_only_gan_optimized_1100/train/mask/00480_crackseg_train_crackseg_train_1965.rf.fea135fbc4d86c78a46105a0fac547ec.png,0.020363,crackseg_train,B_0030.png,B_0030.png,0.9961,-0.11310709888654034,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/1965.rf.fea135fbc4d86c78a46105a0fac547ec.jpg
12.8750,균열,1,0.3333,data/crack_only_gan_optimized_1100/train/B/00463_crackseg_train_crackseg_train_1862.rf.913737f855c9138ce7c5928f88011e12.jpg,data/crack_only_gan_optimized_1100/train/mask/00463_crackseg_train_crackseg_train_1862.rf.913737f855c9138ce7c5928f88011e12.png,0.025391,crackseg_train,B_0031.png,B_0031.png,0.9483,-0.11295698734108899,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/1862.rf.913737f855c9138ce7c5928f88011e12.jpg
12.2353,균열,1,0.2333,data/crack_only_gan_optimized_1100/train/B/00839_crackseg_val_crackseg_val_2040.rf.d10ea68f663f198606ec2a816fb7c35b.jpg,data/crack_only_gan_optimized_1100/train/mask/00839_crackseg_val_crackseg_val_2040.rf.d10ea68f663f198606ec2a816fb7c35b.png,0.019069,crackseg_val,B_0032.png,B_0032.png,0.9897,-0.10988799222121305,/home/lim-hyun-su/defect_synthesis/crack-seg/images/val/2040.rf.d10ea68f663f198606ec2a816fb7c35b.jpg
11.5556,균열,1,0.2903,data/crack_only_gan_optimized_1100/train/B/00337_crackseg_train_crackseg_train_3098.rf.d6b958b87f6478e240171e3de92faad6.jpg,data/crack_only_gan_optimized_1100/train/mask/00337_crackseg_train_crackseg_train_3098.rf.d6b958b87f6478e240171e3de92faad6.png,0.025119,crackseg_train,B_0033.png,B_0033.png,0.9507,-0.10865564895414233,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/3098.rf.d6b958b87f6478e240171e3de92faad6.jpg
10.1463,균열,1,0.2073,data/crack_only_gan_optimized_1100/train/B/00534_crackseg_train_crackseg_train_2021.rf.f74c27272aef68fbbf9a8c8e21734091.jpg,data/crack_only_gan_optimized_1100/train/mask/00534_crackseg_train_crackseg_train_2021.rf.f74c27272aef68fbbf9a8c8e21734091.png,0.020427,crackseg_train,B_0034.png,B_0034.png,0.9954,-0.10780531617690535,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/2021.rf.f74c27272aef68fbbf9a8c8e21734091.jpg
17.2500,균열,1,0.3300,data/crack_only_gan_optimized_1100/train/B/00911_crackseg_train_crackseg_train_3244.rf.153b6e96a8aff9cc77facf90bdd1a4b0.jpg,data/crack_only_gan_optimized_1100/train/mask/00911_crackseg_train_crackseg_train_3244.rf.153b6e96a8aff9cc77facf90bdd1a4b0.png,0.018948,crackseg_train,B_0035.png,B_0035.png,0.9883,-0.10586235560707324,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/3244.rf.153b6e96a8aff9cc77facf90bdd1a4b0.jpg
8.7660,균열,1,0.1912,data/crack_only_gan_optimized_1100/train/B/01020_crackseg_train_crackseg_train_1670.rf.6e0f007c2bdff95277094a5c9b8e1a72.jpg,data/crack_only_gan_optimized_1100/train/mask/01020_crackseg_train_crackseg_train_1670.rf.6e0f007c2bdff95277094a5c9b8e1a72.png,0.021398,crackseg_train,B_0036.png,B_0036.png,0.9854,-0.1042837541327644,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/1670.rf.6e0f007c2bdff95277094a5c9b8e1a72.jpg
10.6154,균열,1,0.2139,data/crack_only_gan_optimized_1100/train/B/00335_crackseg_train_crackseg_train_1708.rf.24e2f1f4231226896558f4f929a68a6c.jpg,data/crack_only_gan_optimized_1100/train/mask/00335_crackseg_train_crackseg_train_1708.rf.24e2f1f4231226896558f4f929a68a6c.png,0.019959,crackseg_train,B_0037.png,B_0037.png,0.9996,-0.10413151544520385,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/1708.rf.24e2f1f4231226896558f4f929a68a6c.jpg
11.2432,균열,1,0.2813,data/crack_only_gan_optimized_1100/train/B/00301_crackseg_val_crackseg_val_1944.rf.02221de033ff8cf2c8334a3e12dba61c.jpg,data/crack_only_gan_optimized_1100/train/mask/00301_crackseg_val_crackseg_val_1944.rf.02221de033ff8cf2c8334a3e12dba61c.png,0.025021,crackseg_val,B_0038.png,B_0038.png,0.9515,-0.10332253771023643,/home/lim-hyun-su/defect_synthesis/crack-seg/images/val/1944.rf.02221de033ff8cf2c8334a3e12dba61c.jpg
10.1463,균열,1,0.2058,data/crack_only_gan_optimized_1100/train/B/00435_crackseg_val_crackseg_val_3584.rf.65d9829c42a36a0b1aacfc88300222ac.jpg,data/crack_only_gan_optimized_1100/train/mask/00435_crackseg_val_crackseg_val_3584.rf.65d9829c42a36a0b1aacfc88300222ac.png,0.020282,crackseg_val,B_0039.png,B_0039.png,0.9970,-0.1030468708904678,/home/lim-hyun-su/defect_synthesis/crack-seg/images/val/3584.rf.65d9829c42a36a0b1aacfc88300222ac.jpg
12.1471,균열,1,0.3179,data/crack_only_gan_optimized_1100/train/B/00589_crackseg_train_crackseg_train_2042.rf.5fc1270a98abfdb7ee6b5e9635443ab8.jpg,data/crack_only_gan_optimized_1100/train/mask/00589_crackseg_train_crackseg_train_2042.rf.5fc1270a98abfdb7ee6b5e9635443ab8.png,0.025795,crackseg_train,B_0040.png,B_0040.png,0.9449,-0.10296815613010668,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/2042.rf.5fc1270a98abfdb7ee6b5e9635443ab8.jpg
9.6744,균열,1,0.1994,data/crack_only_gan_optimized_1100/train/B/00651_crackseg_train_crackseg_train_2156.rf.b82e00c82ae3028a5082fbe67875cf23.jpg,data/crack_only_gan_optimized_1100/train/mask/00651_crackseg_train_crackseg_train_2156.rf.b82e00c82ae3028a5082fbe67875cf23.png,0.020612,crackseg_train,B_0041.png,B_0041.png,0.9935,-0.1020201351199803,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/2156.rf.b82e00c82ae3028a5082fbe67875cf23.jpg
13.4194,균열,1,0.3467,data/crack_only_gan_optimized_1100/train/B/00607_crackseg_train_crackseg_train_3560.rf.3d83600b55f9747aaff9bf717d52b992.jpg,data/crack_only_gan_optimized_1100/train/mask/00607_crackseg_train_crackseg_train_3560.rf.3d83600b55f9747aaff9bf717d52b992.png,0.025836,crackseg_train,B_0042.png,B_0042.png,0.9446,-0.10195983037225817,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/3560.rf.3d83600b55f9747aaff9bf717d52b992.jpg
11.5278,균열,1,0.2222,data/crack_only_gan_optimized_1100/train/B/00731_crackseg_train_crackseg_train_1696.rf.a24a0a79bee793b1de54ea27cd50659e.jpg,data/crack_only_gan_optimized_1100/train/mask/00731_crackseg_train_crackseg_train_1696.rf.a24a0a79bee793b1de54ea27cd50659e.png,0.019185,crackseg_train,B_0043.png,B_0043.png,0.9910,-0.10192107572138999,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/1696.rf.a24a0a79bee793b1de54ea27cd50659e.jpg
10.6154,균열,2,0.2186,data/crack_only_gan_optimized_1100/train/B/00507_crackseg_train_crackseg_train_2033.rf.ce4d38d929c02cd1ecad594901f4cf37.jpg,data/crack_only_gan_optimized_1100/train/mask/00507_crackseg_train_crackseg_train_2033.rf.ce4d38d929c02cd1ecad594901f4cf37.png,0.020392,crackseg_train,B_0044.png,B_0044.png,0.9958,-0.10038613891507407,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/2033.rf.ce4d38d929c02cd1ecad594901f4cf37.jpg
11.1892,균열,1,0.2834,data/crack_only_gan_optimized_1100/train/B/00310_crackseg_train_crackseg_train_1862.rf.4a5a29b84286cc66f486f05ee092fd33.jpg,data/crack_only_gan_optimized_1100/train/mask/00310_crackseg_train_crackseg_train_1862.rf.4a5a29b84286cc66f486f05ee092fd33.png,0.025084,crackseg_train,B_0045.png,B_0045.png,0.9510,-0.10037796944040193,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/1862.rf.4a5a29b84286cc66f486f05ee092fd33.jpg
12.5152,균열,1,0.3294,data/crack_only_gan_optimized_1100/train/B/00679_crackseg_train_crackseg_train_1676.rf.be775d80976296f593b8ec83c45beca5.jpg,data/crack_only_gan_optimized_1100/train/mask/00679_crackseg_train_crackseg_train_1676.rf.be775d80976296f593b8ec83c45beca5.png,0.025945,crackseg_train,B_0046.png,B_0046.png,0.9437,-0.09929530135009838,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/1676.rf.be775d80976296f593b8ec83c45beca5.jpg
13.4194,균열,1,0.3490,data/crack_only_gan_optimized_1100/train/B/00733_crackseg_train_crackseg_train_3086.rf.47d57167edbc96c4fccb3067a1355161.jpg,data/crack_only_gan_optimized_1100/train/mask/00733_crackseg_train_crackseg_train_3086.rf.47d57167edbc96c4fccb3067a1355161.png,0.026009,crackseg_train,B_0047.png,B_0047.png,0.9431,-0.09774188390226525,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/3086.rf.47d57167edbc96c4fccb3067a1355161.jpg
9.0435,균열,1,0.1888,data/crack_only_gan_optimized_1100/train/B/00777_crackseg_train_crackseg_train_1721.rf.7549f54076484f0ece005115c6f68f21.jpg,data/crack_only_gan_optimized_1100/train/mask/00777_crackseg_train_crackseg_train_1721.rf.7549f54076484f0ece005115c6f68f21.png,0.020878,crackseg_train,B_0048.png,B_0048.png,0.9907,-0.09480628775806406,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/1721.rf.7549f54076484f0ece005115c6f68f21.jpg
12.5758,균열,1,0.3303,data/crack_only_gan_optimized_1100/train/B/00787_crackseg_train_crackseg_train_3085.rf.8fb74e0a4398e0b8f9c2eb2a87d93797.jpg,data/crack_only_gan_optimized_1100/train/mask/00787_crackseg_train_crackseg_train_3085.rf.8fb74e0a4398e0b8f9c2eb2a87d93797.png,0.026136,crackseg_train,B_0049.png,B_0049.png,0.9421,-0.0946557063887055,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/3085.rf.8fb74e0a4398e0b8f9c2eb2a87d93797.jpg
15.4074,균열,2,0.2939,data/crack_only_gan_optimized_1100/train/B/00830_crackseg_train_crackseg_train_2033.rf.a25ffa19f54f8a5011bb218e2f345f9b.jpg,data/crack_only_gan_optimized_1100/train/mask/00830_crackseg_train_crackseg_train_2033.rf.a25ffa19f54f8a5011bb218e2f345f9b.png,0.019075,crackseg_train,B_0050.png,B_0050.png,0.9898,-0.0920844804779333,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/2033.rf.a25ffa19f54f8a5011bb218e2f345f9b.jpg
10.0732,균열,1,0.2043,data/crack_only_gan_optimized_1100/train/B/00317_crackseg_train_crackseg_train_3105.rf.9acb46c00debe9ae278671427b167e8a.jpg,data/crack_only_gan_optimized_1100/train/mask/00317_crackseg_train_crackseg_train_3105.rf.9acb46c00debe9ae278671427b167e8a.png,0.019994,crackseg_train,B_0051.png,B_0051.png,0.9999,-0.09169135387133762,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/3105.rf.9acb46c00debe9ae278671427b167e8a.jpg
11.5333,균열,1,0.3146,data/crack_only_gan_optimized_1100/train/B/00929_crackseg_train_crackseg_train_1731.rf.654d2f0d762c5da859e02115717b80ec.jpg,data/crack_only_gan_optimized_1100/train/mask/00929_crackseg_train_crackseg_train_1731.rf.654d2f0d762c5da859e02115717b80ec.png,0.018873,crackseg_train,B_0052.png,B_0052.png,0.9875,-0.09168091933349633,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/1731.rf.654d2f0d762c5da859e02115717b80ec.jpg
11.6571,균열,1,0.3146,data/crack_only_gan_optimized_1100/train/B/00688_crackseg_train_crackseg_train_1938.rf.07cd4437968f4e1dbb7150078d400e66.jpg,data/crack_only_gan_optimized_1100/train/mask/00688_crackseg_train_crackseg_train_1938.rf.07cd4437968f4e1dbb7150078d400e66.png,0.025963,crackseg_train,B_0053.png,B_0053.png,0.9435,-0.09028800376710665,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/1938.rf.07cd4437968f4e1dbb7150078d400e66.jpg
9.8095,균열,1,0.2015,data/crack_only_gan_optimized_1100/train/B/00399_crackseg_train_crackseg_train_1807.rf.fe906e2c2e269b7f1835c532053eff0a.jpg,data/crack_only_gan_optimized_1100/train/mask/00399_crackseg_train_crackseg_train_1807.rf.fe906e2c2e269b7f1835c532053eff0a.png,0.020150,crackseg_train,B_0054.png,B_0054.png,0.9984,-0.09027069277234456,/home/lim-hyun-su/defect_synthesis/crack-seg/images/train/1807.rf.fe906e2c2e269b7f1835c532053eff0a.jpg
